                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.34002,                0.33418,                0.83927,                0.93897,                0.99164,                0.99201,                0.93949,                0.32603,                0.34587,                0.78239,               0.000467,               0.000467,               0.000467
                     36,                 0.3094,                0.30358,                0.82962,                0.98539,                0.94862,                0.99198,                0.94066,                0.32127,                0.32716,                0.78278,              0.0004387,              0.0004387,              0.0004387
                     37,                0.30147,                0.29841,                0.81787,                0.94229,                0.99306,                0.99172,                0.94358,                0.33259,                0.35303,                0.78558,             0.00041041,             0.00041041,             0.00041041
                     38,                0.31746,                0.30031,                 0.8259,                0.94578,                0.98018,                0.99041,                0.94861,                0.31392,                0.33899,                0.78281,             0.00038211,             0.00038211,             0.00038211
                     39,                0.29874,                0.30521,                0.81983,                0.95808,                 0.9835,                 0.9919,                0.94569,                0.33207,                0.32361,                0.77936,             0.00035382,             0.00035382,             0.00035382
                     40,                0.32529,                0.33747,                0.81377,                0.95976,                0.98611,                0.99214,                0.95378,                0.32169,                0.33374,                0.77942,             0.00032553,             0.00032553,             0.00032553
                     41,                0.29753,                0.30916,                0.81665,                 0.9592,                0.98529,                0.99194,                0.95505,                0.28111,                0.31427,                0.78107,             0.00029723,             0.00029723,             0.00029723
                     42,                0.28313,                0.29757,                0.81263,                0.95696,                0.98424,                0.99162,                 0.9481,                0.30445,                0.32666,                0.78515,             0.00026894,             0.00026894,             0.00026894
                     43,                0.28016,                0.29457,                0.81356,                0.94621,                0.99306,                0.99209,                0.95988,                0.29139,                0.32049,                0.78054,             0.00024064,             0.00024064,             0.00024064
                     44,                0.26452,                0.28306,                0.80461,                0.95399,                0.98041,                0.99156,                0.95768,                0.27659,                0.31076,                0.78044,             0.00021235,             0.00021235,             0.00021235
                     45,                0.26298,                0.26907,                0.80705,                0.94802,                0.99058,                0.99176,                0.95297,                 0.2686,                0.30147,                 0.7787,             0.00018406,             0.00018406,             0.00018406
                     46,                0.25103,                 0.2656,                0.80737,                0.94992,                0.99028,                0.99191,                0.96165,                0.26331,                0.28874,                0.77682,             0.00015576,             0.00015576,             0.00015576
                     47,                0.26071,                0.27054,                0.80836,                0.95662,                0.98106,                0.99149,                0.95962,                0.27636,                0.29387,                0.77555,             0.00012747,             0.00012747,             0.00012747
                     48,                0.24338,                0.26104,                0.80216,                0.95769,                0.98073,                0.99163,                0.96269,                0.26797,                0.28983,                0.77632,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.24007,                0.25399,                0.80102,                 0.9579,                0.98126,                0.99194,                0.96218,                0.26559,                0.28998,                0.77637,             7.0878e-05,             7.0878e-05,             7.0878e-05
